question,answer_a,answer_b,answer_c,answer_d
What is the capital of France?,Paris,London,Rome,Berlin
Who wrote 'Pan Tadeusz'?,Adam Mickiewicz,Juliusz Słowacki,Bolesław Prus,Henryk Sienkiewicz
What is the square root of 16?,4,5,6,7
Which ocean is the largest?,Atlantic,Pacific,Indian,Arctic
In which year did World War II start?,1939,1914,1945,1920
What is the chemical symbol for gold?,Au,Ag,Fe,Pb
Who was the first president of the USA?,George Washington,Abraham Lincoln,John Adams,Thomas Jefferson
What is the name of the highest mountain in the world?,Mount Everest,K2,Kilimanjaro,Mont Blanc
Which planet is closest to the Sun?,Mercury,Venus,Earth,Mars
How many legs does a spider have?,8,6,4,10
